Timestamp                       (process)[PID]    
2022-11-11 00:07:14.000134+0800  localhost kernel[0]: mem_actual: 0x800000000
 legacy sane_size: 0x7b8000000
2022-11-11 00:07:14.000141+0800  localhost kernel[0]: PMAP: PCID enabled
2022-11-11 00:07:14.000142+0800  localhost kernel[0]: PMAP: Supervisor Mode Execute Protection enabled
2022-11-11 00:07:14.000142+0800  localhost kernel[0]: PMAP: Supervisor Mode Access Protection enabled
2022-11-11 00:07:14.002362+0800  localhost kernel[0]: Darwin Kernel Version 22.1.0: Sun Oct  9 20:14:54 PDT 2022; root:xnu-8792.41.9~2/RELEASE_X86_64
2022-11-11 00:07:14.012214+0800  localhost kernel[0]: pmap_startup() delaying init/free of page nums > 0x200000
2022-11-11 00:07:14.032227+0800  localhost kernel[0]: pmap_startup() init/release time: 20010 microsec
2022-11-11 00:07:14.032229+0800  localhost kernel[0]: pmap_startup() delayed init/release of 6652233 pages
2022-11-11 00:07:14.032231+0800  localhost kernel[0]: vm_page_bootstrap: 1264436 free pages, 7091404 wired pages, (up to 6652233 of which are delayed free)
2022-11-11 00:07:14.032363+0800  localhost kernel[0]: VM boostrap: 73 maps, 153 entries and 128 holes available
2022-11-11 00:07:14.032370+0800  localhost kernel[0]: Maximum number of VM swap files: 100
2022-11-11 00:07:14.032378+0800  localhost kernel[0]: kext submap [0x<private> - 0x<private>], kernel text [0x<private> - 0x<private>]
2022-11-11 00:07:14.067872+0800  localhost kernel[0]: "vm_compressor_mode" is 4
2022-11-11 00:07:14.067904+0800  localhost kernel[0]: VM bootstrap done: 61 maps, 114 entries and 118 holes left
2022-11-11 00:07:14.072480+0800  localhost kernel[0]: Firehose configured: 16 chunks, 8 io pages
2022-11-11 00:07:14.073011+0800  localhost kernel[0]: Log queues configured: slot count: 96, per-slot size: 32768, total size: 3145728
2022-11-11 00:07:14.073014+0800  localhost kernel[0]: OSLog stream configured: stream: 8192 bytes, cache: 2112 bytes
2022-11-11 00:07:14.073018+0800  localhost kernel[0]: Long logs support configured: size: 16384
2022-11-11 00:07:14.073026+0800  localhost kernel[0]: standard timeslicing quantum is 10000 us
2022-11-11 00:07:14.073027+0800  localhost kernel[0]: standard background quantum is 2500 us
2022-11-11 00:07:14.073088+0800  localhost kernel[0]: mig_table_max_displ = 54 mach_kobj_count = 374
2022-11-11 00:07:14.075782+0800  localhost kernel[0]: TSC Deadline Timer supported and enabled
2022-11-11 00:07:14.356450+0800  localhost kernel[0]: PMRD: PMTraceWorker <private>
2022-11-11 00:07:14.357255+0800  localhost kernel[0]: (AppleImage4) Darwin Image4 Validator Version 5.0.0: Thu Oct 27 21:35:36 PDT 2022; root:AppleImage4-201.40.10~432/AppleImage4/RELEASE_X86_64
2022-11-11 00:07:14.357270+0800  localhost kernel[0]: calling mpo_policy_init for AppleImage4
2022-11-11 00:07:14.357272+0800  localhost kernel[0]: Security policy loaded: AppleImage4 sysctl hook (AppleImage4)
2022-11-11 00:07:14.357274+0800  localhost kernel[0]: (AppleImage4) AppleImage4:
2022-11-11 00:07:14.357275+0800  localhost kernel[0]: (AppleImage4) no options node: 19
2022-11-11 00:07:14.357276+0800  localhost kernel[0]: (AppleImage4) 
2022-11-11 00:07:14.358072+0800  localhost kernel[0]: calling mpo_policy_init for AMFI
2022-11-11 00:07:14.358075+0800  localhost kernel[0]: Security policy loaded: Apple Mobile File Integrity (AMFI)
2022-11-11 00:07:14.358085+0800  localhost kernel[0]: calling mpo_policy_init for Sandbox
2022-11-11 00:07:14.358242+0800  localhost kernel[0]: Security policy loaded: Seatbelt sandbox policy (Sandbox)
2022-11-11 00:07:14.358317+0800  localhost kernel[0]: calling mpo_policy_init for Quarantine
2022-11-11 00:07:14.358319+0800  localhost kernel[0]: Security policy loaded: Quarantine policy (Quarantine)
2022-11-11 00:07:14.359850+0800  localhost kernel[0]: (AppleCredentialManager) AppleCredentialManager: init: called, instance = <private>.
2022-11-11 00:07:14.359867+0800  localhost kernel[0]: (AppleCredentialManager) AssertMacros: value (value: 0x0), ---, file: /AppleInternal/Library/BuildRoots/0d3d51bd-555a-11ed-88cc-a23c4f261b56/Library/Caches/com.apple.xbs/Sources/AppleCredentialManager/AppleCredentialManager/Services/ACMKernelService.cpp:182
2022-11-11 00:07:14.359872+0800  localhost kernel[0]: (AppleCredentialManager) AppleCredentialManager: init: EOSDevice: 0 [SEP over: KernelRelay=NO SEPManager=NO] [booted into: BaseSystem=NO InternalSystem=NO].
2022-11-11 00:07:14.359878+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[6] len=1 <00>.
2022-11-11 00:07:14.359890+0800  localhost kernel[0]: (AppleCredentialManager) ACM: InitCredentialEngine: Global credential set created, CS[20].
2022-11-11 00:07:14.359892+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[5] len=1 <00>.
2022-11-11 00:07:14.359894+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[23] len=1 <01>.
2022-11-11 00:07:14.359895+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[24] len=22 <4f637420323720323032322c2032313a32383a323900>.
2022-11-11 00:07:14.359897+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[25].
2022-11-11 00:07:14.359899+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[27].
2022-11-11 00:07:14.359900+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[36].
2022-11-11 00:07:14.359902+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[22].
2022-11-11 00:07:14.359903+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetDataProvider: data provider *set* for var[29].
2022-11-11 00:07:14.359904+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[7] len=1 <00>.
2022-11-11 00:07:14.359906+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[26] len=1 <00>.
2022-11-11 00:07:14.359907+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[33] len=1 <01>.
2022-11-11 00:07:14.359909+0800  localhost kernel[0]: (AppleCredentialManager) ACM: Env_SetVariableWithParams: set var[34] len=1 <00>.
2022-11-11 00:07:14.359911+0800  localhost kernel[0]: (AppleCredentialManager) ACMFirstResponderKernelService: init: called, .
2022-11-11 00:07:14.359915+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM-S: init: called, starting PersistentStore service.
2022-11-11 00:07:14.359920+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM-A: init: called, starting TRM Analytics service.
2022-11-11 00:07:14.359929+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM-C: init: called, starting AccessoryCache service.
2022-11-11 00:07:14.359930+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: acc-cache size = 16 (default).
2022-11-11 00:07:14.359933+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: acc-cache expiration = 2592000 (default).
2022-11-11 00:07:14.359935+0800  localhost kernel[0]: (AppleCredentialManager) ACM: TRMAccCache_SetupEmpty: called, cacheSize=16 expiration=2592000.
2022-11-11 00:07:14.359942+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: init: called, starting TRM service.
2022-11-11 00:07:14.359944+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: config profile = 4294967295 (default).
2022-11-11 00:07:14.359946+0800  localhost kernel[0]: (AppleCredentialManager) AssertMacros: dtDefaults (value: 0x0), ---, file: /AppleInternal/Library/BuildRoots/0d3d51bd-555a-11ed-88cc-a23c4f261b56/Library/Caches/com.apple.xbs/Sources/AppleCredentialManager/AppleCredentialManager/Services/ACMRestrictedModeKernelService.cpp:1843
2022-11-11 00:07:14.359950+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _getDefaultConfigProfile: config profile: 2 (boot-arg=2 edt-prop=2).
2022-11-11 00:07:14.359953+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: policy mode timeout = 604800 (default).
2022-11-11 00:07:14.359955+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: grace period (bounded) timeout = 259200 (default).
2022-11-11 00:07:14.359957+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: unlocked period timeout = 86400 (default).
2022-11-11 00:07:14.359959+0800  localhost kernel[0]: (AppleCredentialManager) ACMKernelService: initValueFromBootArgAliasesUInt32: enabled by default = 1 (default).
2022-11-11 00:07:14.359978+0800  localhost kernel[0]: (AppleCredentialManager) AssertMacros: data (value: 0x0), 'external-boot' property not found, file: /AppleInternal/Library/BuildRoots/0d3d51bd-555a-11ed-88cc-a23c4f261b56/Library/Caches/com.apple.xbs/Sources/AppleCredentialManager/AppleCredentialManager/Services/ACMRestrictedModeKernelService.cpp:1798
2022-11-11 00:07:14.359983+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _loadDisabledByExternalBoot: disabled by ExternalBoot: NO.
2022-11-11 00:07:14.359989+0800  localhost kernel[0]: (AppleCredentialManager) AssertMacros: data (value: 0x0), 'disable-transport-rm' property not found, file: /AppleInternal/Library/BuildRoots/0d3d51bd-555a-11ed-88cc-a23c4f261b56/Library/Caches/com.apple.xbs/Sources/AppleCredentialManager/AppleCredentialManager/Services/ACMRestrictedModeKernelService.cpp:1772
2022-11-11 00:07:14.359993+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _loadDisabledByOSEnvironment: disabled by OSEnvironment: NO.
2022-11-11 00:07:14.359998+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _publishIOResource: AppleUSBRestrictedModeWithReason = 0.
2022-11-11 00:07:14.360003+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: set TRM_PolicyTimeout = 604800.
2022-11-11 00:07:14.360006+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: set TRM_PolicyReason = Unrestricted(0).
2022-11-11 00:07:14.360008+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: set TRM_UnlockedPeriodTimeout = 86400.
2022-11-11 00:07:14.360010+0800  localhost kernel[0]: (AppleCredentialManager) ACMTRM: _mapAndPublishTRM: sending kIOMessageServicePropertyChange(changes=3) while LOCKED(1), TRM: 604800/U(0) 4294967295/-(255) M=255/4294967295/4294967295 ---(255) L=255 UP=86400/255, CUR: 604800/U(0) 4294967295/-(255).
2022-11-11 00:07:14.360017+0800  localhost kernel[0]: (AppleCredentialManager) AppleCredentialManager: init: returning, result = true, instance = <private>.
2022-11-11 00:07:14.360043+0800  localhost kernel[0]: Couldn't alloc class "AppleKeyStoreTest"
2022-11-11 00:07:14.360132+0800  localhost kernel[0]: (SMCRadeonGPU) <compose failure [UUID]>
2022-11-11 00:07:14.360135+0800  localhost kernel[0]: (SMCRadeonGPU) <compose failure [UUID]>
2022-11-11 00:07:14.360172+0800  localhost kernel[0]: (AppleCredentialManager) AppleCredentialManager: start: called, instance = <private>.
